Gate_1,Gate_2,Delay,Fidelity
0,0,0,0.976993662900276
0,1,0,0.9794111356645009
0,2,0,0.9750651715922442
1,0,0,0.9784432442288057
1,1,0,0.9771384866578063
1,2,0,0.9771878033041231
2,0,0,0.9755563410078826
2,1,0,0.9714864328475891
2,2,0,0.9765718536303973
0,0,1000,0.9449073914695872
0,1,1000,0.9442230902521521
0,2,1000,0.9426376637586205
1,0,1000,0.9498702195999339
1,1,1000,0.961708966436112
1,2,1000,0.9537358202795928
2,0,1000,0.9485311360066275
2,1,1000,0.9353292064941878
2,2,1000,0.9440291066815785
0,0,2000,0.9269381323146583
0,1,2000,0.9274518385373834
0,2,2000,0.9363230457969858
1,0,2000,0.9289244970926842
1,1,2000,0.9119279366564965
1,2,2000,0.9111486622044209
2,0,2000,0.9128240541405509
2,1,2000,0.9069278207326505
2,2,2000,0.9065830006215407
0,0,3000,0.8984360867372716
0,1,3000,0.899413974107293
0,2,3000,0.8831338601879827
1,0,3000,0.8751158263054736
1,1,3000,0.8906180318571153
1,2,3000,0.8963805990168431
2,0,3000,0.9002898149325732
2,1,3000,0.887476204417356
2,2,3000,0.8768196816239356
0,0,4000,0.8586517509141481
0,1,4000,0.8648986697165907
0,2,4000,0.8676628517118826
1,0,4000,0.8620170671255338
1,1,4000,0.8601533046097549
1,2,4000,0.8619975621740963
2,0,4000,0.8598459192841508
2,1,4000,0.864640844756878
2,2,4000,0.8696642313578983
0,0,5000,0.8210310561351645
0,1,5000,0.8136906021836952
0,2,5000,0.8207656282200084
1,0,5000,0.825422937319017
1,1,5000,0.8401812571589153
1,2,5000,0.854662462631922
2,0,5000,0.858578008074842
2,1,5000,0.8356807311770135
2,2,5000,0.8328388928321382
0,0,6000,0.8028502171741523
0,1,6000,0.7982461654855311
0,2,6000,0.8221734476362397
1,0,6000,0.8177021500242285
1,1,6000,0.794106276531209
1,2,6000,0.8150836993897254
2,0,6000,0.8320354654800104
2,1,6000,0.8030496760228926
2,2,6000,0.8146709962775738
0,0,7000,0.7742246576562207
0,1,7000,0.7825190209033712
0,2,7000,0.7937211066882505
1,0,7000,0.7887668820046977
1,1,7000,0.8008072272960766
1,2,7000,0.7642401028698617
2,0,7000,0.7892717615581791
2,1,7000,0.7929224628912453
2,2,7000,0.783852903903804
0,0,8000,0.773367366563193
0,1,8000,0.7591603170195963
0,2,8000,0.7608330530091518
1,0,8000,0.7427034313004653
1,1,8000,0.7817091453305883
1,2,8000,0.7696408969843624
2,0,8000,0.73604772364456
2,1,8000,0.7557575661827425
2,2,8000,0.7693587573671989
0,0,9000,0.715728220668135
0,1,9000,0.7348569398682172
0,2,9000,0.734142775762507
1,0,9000,0.736844590122002
1,1,9000,0.7277438326225328
1,2,9000,0.7410598071309805
2,0,9000,0.7317782638009008
2,1,9000,0.7570157793238149
2,2,9000,0.7348569398682172
0,0,10000,0.7338889277249757
0,1,10000,0.7314095123313274
0,2,10000,0.7048650551841906
1,0,10000,0.7112575288657567
1,1,10000,0.7502964519499696
1,2,10000,0.7404056119589209
